censor_policy,model,n_train,n_test,scale_mult,weights,alpha,cv_MAE,cv_MAE_sd,MAE,RMSE,R2,Spearman_rho
limit,static_rbf,214,48,1.0,"(1.0,)",0.1,1.680273308110939,0.3245340733045307,2.3305555595868506,3.0842849950271733,0.06281835920161039,0.39375578789604576
limit,li_wasserstein,214,48,1.0,"(1.0,)",0.1,1.6941830993937244,0.2797082603798994,1.899146511522989,2.285145803569513,0.48555067583916456,0.6975509440726496
limit,static_plus_li_wasserstein,214,48,1.0,"(0.3999999999999999, 0.6000000000000001)",0.1,1.5996040536882132,0.3100868129921365,2.042951915033528,2.5710687152930656,0.3487583949448422,0.6173446644161823
half_limit,static_rbf,214,48,1.0,"(1.0,)",0.1,1.7037211809645822,0.33768794196478724,2.401801848126993,3.1655299517161644,0.047997064768988906,0.4165498850400694
half_limit,li_wasserstein,214,48,1.0,"(1.0,)",0.1,1.7094922853319354,0.28513948452913496,1.9231707145023946,2.3005783651766167,0.4971719508091941,0.7044056796016742
half_limit,static_plus_li_wasserstein,214,48,1.0,"(0.19999999999999996, 0.8)",0.1,1.606029575413256,0.3361579331305648,2.0144620849801185,2.4940902597698873,0.40902410664417477,0.6690801927788708
exclude,static_rbf,191,40,0.5,"(1.0,)",0.1,1.6796361069665515,0.47680495907622716,2.097280660146109,2.751631921827996,0.16281484439173943,0.3795497185741089
exclude,li_wasserstein,191,40,0.25,"(1.0,)",0.004641588833612777,1.580643165995015,0.24374068629120216,1.7876127482002446,2.265049415037398,0.4327216576909476,0.5382739212007505
exclude,static_plus_li_wasserstein,191,40,1.0,"(0.3999999999999999, 0.6000000000000001)",0.004641588833612777,1.4229582252897561,0.21289650208890354,2.354836018061504,3.2815703079119056,-0.190705248456134,0.4332082551594747
