Family,model,n,MAE,RMSE,R2,Spearman_rho
LGPS,li_wasserstein,11,1.704380404839897,1.8101773934832037,-72.05871355176033,-0.06363636363636364
LGPS,static_plus_li_wasserstein,11,1.3917462855579392,1.4515869487691748,-45.98030766377278,0.10000000000000002
LGPS,static_rbf,11,0.5500018734571678,0.5757322451696414,-6.390449512619408,0.790909090909091
LISICON,li_wasserstein,9,3.3107501999127895,3.8158089972952522,0.1824033098142358,0.7333333333333334
LISICON,static_plus_li_wasserstein,9,3.376062923225533,3.9639410566457154,0.11769194283322071,0.7666666666666667
LISICON,static_rbf,9,3.9073073668339555,4.414735160909222,-0.09439772150943337,0.26666666666666666
NASICON,li_wasserstein,29,3.4467361085594383,3.792633916701757,-2.8017529569544624,-0.22244118902559484
NASICON,static_plus_li_wasserstein,29,2.7881596723352833,3.1993690572516242,-1.705395253573101,-0.15024630541871917
NASICON,static_rbf,29,3.101756685991273,3.4342329440013093,-2.1171775758319686,-0.38965517241379305
argyrodites,li_wasserstein,37,1.0235910691070513,1.318923340495598,-0.8581998794260668,-0.07836396024246195
argyrodites,static_plus_li_wasserstein,37,0.985487201725,1.2119664430773465,-0.5690417883392938,-0.2681365576102418
argyrodites,static_rbf,37,1.4165091184395417,1.5943198043517037,-1.7152148582276299,-0.33238501659554287
garnet,li_wasserstein,28,2.4336791248849856,2.5992694150059052,-7.806453231306737,0.14887794198139023
garnet,static_plus_li_wasserstein,28,0.9037840500312567,1.1204475533900282,-0.6363699858088772,0.3431855500821018
garnet,static_rbf,28,1.7150929733340017,2.0160394247935796,-4.297811251164288,0.37383689107827034
oxides,li_wasserstein,23,2.0271441129162215,2.5372093740653785,-2.5436365413477673,-0.18939170376469824
oxides,static_plus_li_wasserstein,23,1.9885672381448638,2.272863876232191,-1.8436975858586666,0.16497014196346085
oxides,static_rbf,23,1.7448331711624991,2.1859518024131472,-1.6303753194130834,0.2855827533083476
phosphates,li_wasserstein,9,2.055109004462822,2.738707753788496,0.603505226556499,0.847579379526013
phosphates,static_plus_li_wasserstein,9,2.055109004462822,2.738707753788496,0.603505226556499,0.847579379526013
phosphates,static_rbf,9,3.1672294706752457,3.782590980432853,0.24364645035224985,0.6611119160302902
ALL_ELIGIBLE_FAMILIES,li_wasserstein,146,2.1892908499428536,2.68599712108396,0.28608170925472354,0.5963215076762934
ALL_ELIGIBLE_FAMILIES,static_plus_li_wasserstein,146,1.7298110502060808,2.247153951649558,0.5003072173741765,0.7079163000016422
ALL_ELIGIBLE_FAMILIES,static_rbf,146,2.0564136959706243,2.574382402276219,0.34418168768505664,0.6817468859320714
