component,permutation_scheme,normalized_HSIC,permutation_p,null_mean,null_sd,n_permutations,permutation_p_BH_FDR,label
li_cdf_rbf__static_OOF_residual,global,0.0537239877113004,0.000999800039992,0.0134529394550069,0.006389286003286,5000,0.000999800039992,li cdf rbf  static OOF residual | global
li_cdf_rbf__static_OOF_residual,within_Family,0.0537239877113004,0.0371925614877024,0.0407184463742893,0.0066520307574409,5000,0.0446310737852429,li cdf rbf  static OOF residual | within Family
li_wasserstein__static_OOF_residual,global,0.0552159539322837,0.0003999200159968,0.0143994503372895,0.0065487147209094,5000,0.0004362763810874,li wasserstein  static OOF residual | global
li_wasserstein__static_OOF_residual,within_Family,0.0552159539322837,0.021995600879824,0.0416059816055795,0.0062016071713421,5000,0.0293274678397653,li wasserstein  static OOF residual | within Family
total_wasserstein__static_OOF_residual,global,0.0844059841015123,0.0001999600079984,0.0140749862644622,0.0065396554030392,5000,0.000239952009598,total wasserstein  static OOF residual | global
total_wasserstein__static_OOF_residual,within_Family,0.0844059841015123,0.0085982803439312,0.0640874203657953,0.008019392902819,5000,0.0147399091610249,total wasserstein  static OOF residual | within Family
total_cdf_rbf__static_OOF_residual,within_Family,0.089994555826856,0.0075984803039392,0.0700670241208595,0.0078297418334021,5000,0.0147399091610249,total cdf rbf  static OOF residual | within Family
total_cdf_rbf__static_OOF_residual,global,0.089994555826856,0.0001999600079984,0.0143361816930543,0.0065603084243786,5000,0.000239952009598,total cdf rbf  static OOF residual | global
total_wasserstein,within_Family,0.1347858629999489,0.0057988402319536,0.1059726190450844,0.0107459531855558,5000,0.0139172165566886,total wasserstein | within Family
total_wasserstein,global,0.1347858629999489,0.0001999600079984,0.011937199016724,0.006727907506034,5000,0.000239952009598,total wasserstein | global
li_wasserstein,within_Family,0.1829373172306562,0.0015996800639872,0.1380364416575787,0.0143628778929273,5000,0.0063987202559488,li wasserstein | within Family
li_wasserstein,global,0.1829373172306562,0.0001999600079984,0.0119189465726247,0.0062690258754713,5000,0.000239952009598,li wasserstein | global
static_rbf,within_Family,0.2374214720768158,0.0011997600479904,0.191624992477657,0.0146887580798933,5000,0.0063987202559488,static rbf | within Family
static_rbf,global,0.2374214720768158,0.0001999600079984,0.0324769174971839,0.0059907216433239,5000,0.000239952009598,static rbf | global
