split,Family,descriptor,n,conductivity_range_log10,spearman_rho,ci95_low,ci95_high
train,LGPS,Li_fraction_below_5THz,11,0.7910520350296915,0.18181818181818182,-0.5556338028169013,0.7703622693096374
train,LGPS,Li_q05_THz,11,0.7910520350296915,-0.11818181818181818,-0.7383380739536773,0.6650728830532993
train,LISICON,Li_fraction_below_5THz,9,12.95653430621891,0.6,-0.1282051282051282,0.8782608695652175
train,LISICON,Li_q05_THz,9,12.95653430621891,-0.6166666666666666,-0.9449541284403669,0.09565217391304348
train,NASICON,Li_fraction_below_5THz,29,7.68304703823885,0.01379310344827586,-0.44009900990099005,0.4282923563911925
train,NASICON,Li_q05_THz,29,7.68304703823885,-0.30935960591132994,-0.6233988165912725,0.0702381144368467
train,Unknown,Li_fraction_below_5THz,9,6.859624293210853,0.26666666666666666,-0.5789473684210527,0.9821428571428571
train,Unknown,Li_q05_THz,9,6.859624293210853,-0.7333333333333334,-0.9636363636363636,-0.13513513513513514
train,argyrodites,Li_fraction_below_5THz,37,3.6431392196108674,-0.11925082977714554,-0.4169063092369082,0.20950837166596395
train,argyrodites,Li_q05_THz,37,3.6431392196108674,-0.10526315789473684,-0.39000754694556694,0.200432711495378
train,garnet,Li_fraction_below_5THz,28,3.841744398006669,0.17296113847837985,-0.25252203865123457,0.5450142160232064
train,garnet,Li_q05_THz,28,3.841744398006669,-0.19321291735084836,-0.5732049823288494,0.21042501388041762
train,oxides,Li_fraction_below_5THz,23,6.400106070428545,0.37429781454549577,-0.08407515946470565,0.7115257874834651
train,oxides,Li_q05_THz,23,6.400106070428545,-0.32146749717955364,-0.697467193279034,0.17389648988999043
train,perovskites,Li_fraction_below_5THz,6,6.03342375548695,0.3478626213914691,-0.8000000000000002,1.0
train,perovskites,Li_q05_THz,6,6.03342375548695,-0.028988551782622423,-0.8660254037844388,0.92
train,phosphates,Li_fraction_below_5THz,9,14.102662341897148,0.5085476277156078,-0.13057666479960167,0.9270528037879994
train,phosphates,Li_q05_THz,9,14.102662341897148,-0.5085476277156078,-0.9289637567409903,0.1212223444754306
train,sulfides,Li_fraction_below_5THz,5,4.633468455579586,0.09999999999999999,-1.0,1.0
train,sulfides,Li_q05_THz,5,4.633468455579586,0.09999999999999999,-1.0,1.0
train,thio-LISICON,Li_fraction_below_5THz,6,4.933053210369387,0.028571428571428574,-1.0,1.0
train,thio-LISICON,Li_q05_THz,6,4.933053210369387,0.6,-0.5000000000000001,1.0
test,Unknown,Li_fraction_below_5THz,8,3.586071885943832,0.4047619047619048,-0.3150684931506849,0.8987341772151901
test,Unknown,Li_q05_THz,8,3.586071885943832,-0.5476190476190477,-1.0,0.3333333333333333
test,garnet,Li_fraction_below_5THz,8,3.1464428559036244,0.38095238095238104,-0.6153846153846154,0.9047619047619049
test,garnet,Li_q05_THz,8,3.1464428559036244,-0.38095238095238104,-0.9065389554794517,0.6155063291139223
test,perovskites,Li_fraction_below_5THz,6,6.824776462475546,-0.6667366910003157,-1.0,0.5085133809309825
test,perovskites,Li_q05_THz,6,6.824776462475546,0.6667366910003157,-0.5085133809309825,1.0
