model,evaluation,n,MAE,RMSE,R2,Spearman_rho
Li_scalar_RBF,nested_train_OOF,214,1.8719858852270839,2.5794097335404245,0.3316121033610585,0.6756863787521118
Li_scalar_RBF,official_test,48,1.9646938258032403,2.395194624693049,0.43480750431641446,0.5985762550732511
total_scalar_RBF,nested_train_OOF,214,2.054857147966001,2.918787637357998,0.14415936158375842,0.6247397968372952
total_scalar_RBF,official_test,48,2.6363840801562564,3.4682259695725444,-0.18503053718594753,0.1346973377770944
all_scalar_RBF,nested_train_OOF,214,1.6642968105424456,2.2085230424411364,0.5100048539524976,0.6999589373972495
all_scalar_RBF,official_test,48,2.137066781942472,2.696445623155323,0.28369480063049635,0.4922763366498091
static_plus_Li_scalar_RBF,nested_train_OOF,214,2.0106972665329614,2.667188759962339,0.2853466845220437,0.631857811498658
static_plus_Li_scalar_RBF,official_test,48,2.838076905654937,3.4623945077791323,-0.18104887581121099,0.42427485352324684
static_plus_all_scalar_RBF,nested_train_OOF,214,1.9000218086200729,2.54644136248088,0.3485887294643627,0.6920739243404975
static_plus_all_scalar_RBF,official_test,48,2.7496439373538037,3.414965200496202,-0.14891350675859827,0.4293341638678631
